id	pointName	xsect(pb)
1	pMSSM12_MCMC1_16_634364	0.05672
2	pMSSM12_MCMC1_6_440617	0.1419
3	pMSSM12_MCMC1_39_313333	0.002065
5	pMSSM12_MCMC1_28_780720	0.0529
6	pMSSM12_MCMC1_25_766444	0.0725
7	pMSSM12_MCMC1_3_618214	0.6507
8	pMSSM12_MCMC1_12_689702	0.003221
10	pMSSM12_MCMC1_28_562325	0.1922
11	pMSSM12_MCMC1_37_474893	0.09817
12	pMSSM12_MCMC1_37_985182	0.1846
14	pMSSM12_MCMC1_21_368571	0.008487
16	pMSSM12_MCMC1_6_849821	4.862
17	pMSSM12_MCMC1_44_927008	0.1106
18	pMSSM12_MCMC1_16_579182	0.01098
19	pMSSM12_MCMC1_4_647124	0.07348
20	pMSSM12_MCMC1_5_353020	0.003618
21	pMSSM12_MCMC1_22_252338	920.6
22	pMSSM12_MCMC1_34_865804	1.098e-05
23	pMSSM12_MCMC1_14_936621	0.2576
24	pMSSM12_MCMC1_34_591345	3.507
26	pMSSM12_MCMC1_39_813129	0.5903
28	pMSSM12_MCMC1_25_280170	0.002759
29	pMSSM12_MCMC1_27_328603	1.996e-05
30	pMSSM12_MCMC1_30_297183	0.01306
32	pMSSM12_MCMC1_4_968452	0.003347
34	pMSSM12_MCMC1_34_966405	0.8773
35	pMSSM12_MCMC1_23_498337	0.0006829
36	pMSSM12_MCMC1_9_931714	0.006456
37	pMSSM12_MCMC1_44_462930	0.03409
38	pMSSM12_MCMC1_43_769513	1.286
39	pMSSM12_MCMC1_5_421179	0.0008642
40	pMSSM12_MCMC1_47_945787	0.0002252
43	pMSSM12_MCMC1_22_903434	0.8813
44	pMSSM12_MCMC1_29_842087	0.5977
45	pMSSM12_MCMC1_25_638781	0.119
46	pMSSM12_MCMC1_9_762809	0.1986
49	pMSSM12_MCMC1_11_389911	0.03274
50	pMSSM12_MCMC1_12_607141	0.002432
51	pMSSM12_MCMC1_37_755551	0.06301
52	pMSSM12_MCMC1_1_974799	0.01268
53	pMSSM12_MCMC1_1_583129	0.01302
55	pMSSM12_MCMC1_5_869206	0.01377
56	pMSSM12_MCMC1_7_875499	0.001839
57	pMSSM12_MCMC1_45_728362	0.01745
58	pMSSM12_MCMC1_5_873712	0.006351
60	pMSSM12_MCMC1_23_285857	0.06783
61	pMSSM12_MCMC1_22_452766	0.05094
62	pMSSM12_MCMC1_10_945871	0.2078
63	pMSSM12_MCMC1_2_655524	0.06224
64	pMSSM12_MCMC1_40_482860	1.493
65	pMSSM12_MCMC1_23_529670	0.03252
66	pMSSM12_MCMC1_25_526321	0.007451
67	pMSSM12_MCMC1_44_259650	2.522
68	pMSSM12_MCMC1_14_236129	0.04811
69	pMSSM12_MCMC1_44_894826	0.06757
70	pMSSM12_MCMC1_15_674209	1.059
72	pMSSM12_MCMC1_48_666368	7.695e-05
74	pMSSM12_MCMC1_47_459505	0.1104
75	pMSSM12_MCMC1_36_245030	0.04652
77	pMSSM12_MCMC1_6_449857	0.0005599
78	pMSSM12_MCMC1_6_225674	8.651
81	pMSSM12_MCMC1_33_517493	0.01716
83	pMSSM12_MCMC1_33_181637	0.1144
84	pMSSM12_MCMC1_38_873897	0.26
87	pMSSM12_MCMC1_34_388730	0.04892
88	pMSSM12_MCMC1_17_334377	0.4853
90	pMSSM12_MCMC1_30_211250	1.352
91	pMSSM12_MCMC1_3_715188	0.004078
92	pMSSM12_MCMC1_40_312941	0.02064
93	pMSSM12_MCMC1_40_546837	0.001891
94	pMSSM12_MCMC1_3_420918	0.3218
95	pMSSM12_MCMC1_19_817707	0.0006573
96	pMSSM12_MCMC1_33_512521	0.9359
97	pMSSM12_MCMC1_2_827624	0.8139
98	pMSSM12_MCMC1_41_856978	0.03909
99	pMSSM12_MCMC1_29_705208	0.003667
100	pMSSM12_MCMC1_32_647907	0.3617
101	pMSSM12_MCMC1_44_613251	0.6363
102	pMSSM12_MCMC1_16_215717	25.86
103	pMSSM12_MCMC1_46_247003	0.05234
104	pMSSM12_MCMC1_21_976140	0.01484
105	pMSSM12_MCMC1_4_766137	0.000207
106	pMSSM12_MCMC1_31_771425	0.0008978
107	pMSSM12_MCMC1_36_215881	0.02368
109	pMSSM12_MCMC1_27_200970	0.01731
110	pMSSM12_MCMC1_24_305106	1.472
112	pMSSM12_MCMC1_20_386255	0.004337
115	pMSSM12_MCMC1_37_396855	0.07712
116	pMSSM12_MCMC1_10_633940	0.001164
119	pMSSM12_MCMC1_19_424782	1.188
120	pMSSM12_MCMC1_46_871976	0.2713
122	pMSSM12_MCMC1_10_580594	17420.0
123	pMSSM12_MCMC1_17_553224	0.006117
124	pMSSM12_MCMC1_28_646584	1.146
125	pMSSM12_MCMC1_25_343809	0.09034
126	pMSSM12_MCMC1_40_309887	5.827
127	pMSSM12_MCMC1_4_952974	0.001208
128	pMSSM12_MCMC1_28_812101	22.53
129	pMSSM12_MCMC1_34_235569	0.03992
130	pMSSM12_MCMC1_23_280250	0.02684
131	pMSSM12_MCMC1_13_261145	3.136
132	pMSSM12_MCMC1_16_470710	2.649
133	pMSSM12_MCMC1_10_567868	9.949
134	pMSSM12_MCMC1_16_554249	0.0009119
135	pMSSM12_MCMC1_12_814626	0.01358
136	pMSSM12_MCMC1_44_552166	0.06265
137	pMSSM12_MCMC1_9_444950	0.002194
138	pMSSM12_MCMC1_8_721206	0.03992
139	pMSSM12_MCMC1_15_714518	0.02838
140	pMSSM12_MCMC1_45_512314	6.052
141	pMSSM12_MCMC1_14_759059	0.1457
142	pMSSM12_MCMC1_43_493727	0.00296
143	pMSSM12_MCMC1_22_280627	0.0002843
145	pMSSM12_MCMC1_23_255631	0.5688
146	pMSSM12_MCMC1_40_229747	0.01701
147	pMSSM12_MCMC1_19_313617	0.4128
149	pMSSM12_MCMC1_42_297900	0.02602
150	pMSSM12_MCMC1_42_257177	0.007775
151	pMSSM12_MCMC1_38_652558	0.02188
152	pMSSM12_MCMC1_43_193091	0.4521
153	pMSSM12_MCMC1_42_201375	0.0065
156	pMSSM12_MCMC1_10_326385	0.01627
157	pMSSM12_MCMC1_24_644162	0.005209
158	pMSSM12_MCMC1_41_557739	0.02093
159	pMSSM12_MCMC1_13_518612	1.805
160	pMSSM12_MCMC1_4_707176	0.06434
161	pMSSM12_MCMC1_44_365124	0.04947
164	pMSSM12_MCMC1_20_421882	2.639
168	pMSSM12_MCMC1_22_974178	0.006616
170	pMSSM12_MCMC1_41_745560	0.2011
171	pMSSM12_MCMC1_7_670588	0.003213
172	pMSSM12_MCMC1_7_852011	0.02365
173	pMSSM12_MCMC1_4_900373	0.001761
174	pMSSM12_MCMC1_36_269699	0.2455
175	pMSSM12_MCMC1_48_196352	0.5272
176	pMSSM12_MCMC1_11_967413	0.09944
178	pMSSM12_MCMC1_28_285043	0.01053
179	pMSSM12_MCMC1_4_301910	1.081
180	pMSSM12_MCMC1_20_792532	0.03049
181	pMSSM12_MCMC1_23_824147	0.005303
184	pMSSM12_MCMC1_3_188724	0.02792
187	pMSSM12_MCMC1_44_719757	0.1357
188	pMSSM12_MCMC1_12_989016	0.9124
189	pMSSM12_MCMC1_26_342571	0.0128
190	pMSSM12_MCMC1_3_828864	4.05e-06
192	pMSSM12_MCMC1_45_668293	0.267
193	pMSSM12_MCMC1_22_202449	0.3603
195	pMSSM12_MCMC1_46_181451	0.1561
196	pMSSM12_MCMC1_22_885252	0.07694
197	pMSSM12_MCMC1_2_831467	0.08636
198	pMSSM12_MCMC1_34_421365	0.3073
200	pMSSM12_MCMC1_25_404610	0.4961
201	pMSSM12_MCMC1_29_924405	1.651
202	pMSSM12_MCMC1_30_450136	0.02772
203	pMSSM12_MCMC1_10_565082	0.01455
204	pMSSM12_MCMC1_41_183062	0.001975
205	pMSSM12_MCMC1_10_310790	107.2
206	pMSSM12_MCMC1_1_378992	0.006822
209	pMSSM12_MCMC1_24_316865	0.0144
210	pMSSM12_MCMC1_9_740429	4.565
211	pMSSM12_MCMC1_4_993342	0.06665
212	pMSSM12_MCMC1_5_722679	0.0002377
213	pMSSM12_MCMC1_1_900454	0.004149
214	pMSSM12_MCMC1_31_820607	0.1661
215	pMSSM12_MCMC1_3_627489	0.0167
216	pMSSM12_MCMC1_26_990975	0.01036
217	pMSSM12_MCMC1_15_840494	0.01764
218	pMSSM12_MCMC1_27_869982	0.002867
219	pMSSM12_MCMC1_39_985372	0.3965
220	pMSSM12_MCMC1_46_978840	0.009719
222	pMSSM12_MCMC1_24_962190	0.3588
223	pMSSM12_MCMC1_5_843456	0.01565
224	pMSSM12_MCMC1_17_394573	0.05976
225	pMSSM12_MCMC1_7_932675	0.001231
227	pMSSM12_MCMC1_31_760753	0.03926
228	pMSSM12_MCMC1_17_412405	0.00744
229	pMSSM12_MCMC1_1_795199	0.02433
230	pMSSM12_MCMC1_47_388131	3.254
231	pMSSM12_MCMC1_42_438676	0.1544
232	pMSSM12_MCMC1_3_534012	0.07742
235	pMSSM12_MCMC1_20_749486	0.02665
236	pMSSM12_MCMC1_34_500983	1.748
237	pMSSM12_MCMC1_33_630763	0.2002
239	pMSSM12_MCMC1_42_744401	0.3739
240	pMSSM12_MCMC1_8_790542	0.001007
241	pMSSM12_MCMC1_15_534931	0.0007351
242	pMSSM12_MCMC1_25_342959	0.1506
244	pMSSM12_MCMC1_7_425580	0.06954
245	pMSSM12_MCMC1_38_994070	0.6379
246	pMSSM12_MCMC1_22_799319	0.5726
247	pMSSM12_MCMC1_45_764112	2.289
248	pMSSM12_MCMC1_31_506896	0.8884
249	pMSSM12_MCMC1_30_399025	0.0004819
250	pMSSM12_MCMC1_24_625652	0.004874
252	pMSSM12_MCMC1_43_413966	0.1709
254	pMSSM12_MCMC1_39_986595	0.3257
255	pMSSM12_MCMC1_1_933497	0.146
256	pMSSM12_MCMC1_27_884946	0.0003255
257	pMSSM12_MCMC1_30_371295	0.001199
258	pMSSM12_MCMC1_45_336118	0.06008
261	pMSSM12_MCMC1_5_214822	0.04711
262	pMSSM12_MCMC1_25_571655	0.3168
263	pMSSM12_MCMC1_16_871933	0.001849
266	pMSSM12_MCMC1_25_904026	0.0001576
268	pMSSM12_MCMC1_38_581377	0.0562
269	pMSSM12_MCMC1_23_220020	0.1778
270	pMSSM12_MCMC1_41_808409	0.1541
271	pMSSM12_MCMC1_45_336677	0.01588
272	pMSSM12_MCMC1_18_979070	0.005153
273	pMSSM12_MCMC1_4_673418	0.2675
274	pMSSM12_MCMC1_23_367695	0.07137
275	pMSSM12_MCMC1_41_800757	0.3663
276	pMSSM12_MCMC1_11_244925	0.1355
278	pMSSM12_MCMC1_12_521150	2.87
279	pMSSM12_MCMC1_47_583753	0.003299
280	pMSSM12_MCMC1_4_746648	0.1021
281	pMSSM12_MCMC1_41_562567	0.04693
282	pMSSM12_MCMC1_11_471563	0.1098
283	pMSSM12_MCMC1_48_457441	0.1781
284	pMSSM12_MCMC1_16_371505	0.3459
285	pMSSM12_MCMC1_32_407608	1.48
286	pMSSM12_MCMC1_4_282061	0.006467
287	pMSSM12_MCMC1_30_251527	11.51
288	pMSSM12_MCMC1_31_619468	2.405
289	pMSSM12_MCMC1_46_581408	0.05157
290	pMSSM12_MCMC1_39_607366	0.3538
291	pMSSM12_MCMC1_8_613094	0.0244
295	pMSSM12_MCMC1_19_971468	184.2
297	pMSSM12_MCMC1_21_375093	0.00285
298	pMSSM12_MCMC1_37_570265	0.2046
299	pMSSM12_MCMC1_21_781403	11.85
300	pMSSM12_MCMC1_16_429286	43.59
301	pMSSM12_MCMC1_48_340199	0.1153
302	pMSSM12_MCMC1_1_834539	0.01893
